date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,has_shootout,shootout_winner,goalscorers_rows,penalty_goals_count,own_goals_count,fixture_id,league_id,season,source
2022-03-25,Latvia,Kuwait,1.0,1.0,Friendlies,,,,False,,0,0,0,847824,10,2022,api_football
2022-03-25,Zambia,Congo,3.0,1.0,Friendlies,,,,False,,0,0,0,852224,10,2022,api_football
2022-03-25,Comoros,Ethiopia,2.0,1.0,Friendlies,,,,False,,0,0,0,851152,10,2022,api_football
2022-03-25,Uzbekistan,Kyrgyzstan,3.0,1.0,Friendlies,,,,False,,0,0,0,848009,10,2022,api_football
2022-03-25,Liechtenstein,Cape Verde,0.0,6.0,Friendlies,,,,False,,0,0,0,832031,10,2022,api_football
2022-03-25,Norway,Slovakia,2.0,0.0,Friendlies,,,,False,,0,0,0,821422,10,2022,api_football
2022-03-25,South Africa,Guinea,0.0,0.0,Friendlies,,,,False,,0,0,0,848006,10,2022,api_football
2022-03-25,Malta,Azerbaijan,1.0,0.0,Friendlies,,,,False,,0,0,0,847825,10,2022,api_football
2022-03-25,Romania,Greece,0.0,1.0,Friendlies,,,,False,,0,0,0,825230,10,2022,api_football
2022-03-25,Luxembourg,Northern Ireland,1.0,3.0,Friendlies,,,,False,,0,0,0,825179,10,2022,api_football
2022-03-25,andorra,St. Kitts and Nevis,1.0,0.0,Friendlies,,,,False,,0,0,0,847826,10,2022,api_football
2022-03-25,Bosnia & Herzegovina,Georgia,0.0,1.0,Friendlies,,,,False,,0,0,0,824913,10,2022,api_football
2022-03-25,San Marino,Lithuania,1.0,2.0,Friendlies,,,,False,,0,0,0,821434,10,2022,api_football
2022-03-25,France,Ivory Coast,2.0,1.0,Friendlies,,,,False,,0,0,0,847814,10,2022,api_football
2022-03-25,Trinidad and Tobago,Barbados,9.0,0.0,Friendlies,,,,False,,0,0,0,852087,10,2022,api_football
2022-03-26,Guinea-Bissau,Angola,3.0,2.0,Friendlies,,,,False,,0,0,0,852226,10,2022,api_football
2022-03-26,Singapore,Malaysia,2.0,1.0,Friendlies,,,,False,,0,0,0,847835,10,2022,api_football
